scene,template,px
ce-01,mushroom,"210, 151"
ce-01,pizza,"507, 140"
ce-01,wheel,"831, 698"
ce-01,toothbrush,"865, 885"
ce-01,flag,"642, 282"
ce-01,glove,"369, 549"
ce-01,shoe,"423, 284"
ce-01,carrot,"590, 795"
ce-01,bird,"847, 576"
ce-01,brush,"484, 1060"
ce-01,banana,"133, 477"
ce-01,hat,"165, 855"
ce-02,cap,"445, 550"
ce-02,envelope,"313, 360"
ce-02,glove,"129, 643"
ce-02,heart,"14, 25"
ce-02,hockey stick,"582, 313"
ce-02,lightening,"569, 462"
ce-02,needle,"88, 262"
ce-02,snowman,"389, 457"
ce-03,belt,"304, 750"
ce-03,blueberry,"551, 141"
ce-03,canoe,"320, 445"
ce-03,doughnut,"338, 61"
ce-03,fish,"70, 377"
ce-03,fried egg,"445, 285"
ce-03,harmonica,"577, 355"
ce-03,rolling pin,"523, 655"
ce-03,rugby ball,"198, 628"
ce-03,ruler,"620, 624"
ce-03,stamp,"122, 151"
ce-03,watermelon,"80, 57"
ce-04,mug,"181, 191"
ce-04,sock,"758, 204"
ce-04,glove,"595, 204"
ce-04,banana,"300, 332"
ce-04,carrot,"448, 382"
ce-04,pepperpot,"86, 852"
ce-04,boot,"680, 1058"
ce-04,fish,"801, 622"
ce-04,waterjar,"875, 869"
ce-04,flashlight,"552, 834"
ce-04,rabbit,"110, 1036"
ce-04,lightbulb,"406, 735"
ce-05,candy,"234, 271"
ce-05,pizza,"161, 108"
ce-05,slingshot,"82, 26"
ce-06,banana,"190, 29"
ce-06,mushroom,"45, 180"
ce-06,boat,"230, 285"
ce-07,crown,"85, 90"
ce-07,brush,"58, 204"
ce-07,toothbrush,"136, 262"
ce-08,broccoli,"238, 283"
ce-08,mug,"163, 161"
ce-08,hammer,"96, 238"
ce-09,apple,"343, 252"
ce-09,bone,"661, 42"
ce-09,butterfly,"351, 812"
ce-09,doughnut,"211, 87"
ce-09,dragonfly,"640, 593"
ce-09,fish bones,"653, 708"
ce-09,house,"745, 318"
ce-09,pizza,"148, 887"
ce-09,sausage,"503, 303"
ce-09,tennis ball,"156, 482"
ce-10,tractor,"346, 350"
ce-10,cow,"57, 190"
ce-10,apple,"73, 262"
ce-10,bush,"348, 528"
ce-10,sunflower,"257, 503"
ce-11,butterfly,"809, 310"
ce-11,bird,"533, 126"
ce-11,bee,"53, 384"
ce-11,flower,"958, 609"
ce-11,snail,"276, 620"
ce-11,caterpillar,"807, 511"
ce-12,moon,"90, 436"
ce-12,toucan,"253, 702"
ce-12,candle,"622, 617"
ce-12,bowl,"727, 760"
ce-12,toothbrush,"861, 912"
ce-12,cupcake,"400, 461"
ce-12,banana,"161, 724"
ce-12,envelope,"530, 709"
ce-12,bell,"999, 720"
ce-12,kite,"818, 682"
ce-12,button,"48, 668"
ce-12,bandage,"230, 220"
ce-12,teacup,"937, 662"
ce-12,fish,"193, 526"
ce-12,bat,"825, 519"
ce-13,glasses,"258, 303"
ce-13,mirror,"163, 593"
ce-13,diamond,"456, 88"
ce-13,purse,"306, 264"
ce-13,lipstick,"100, 133"
ce-13,umbrella,"224, 491"
ce-13,iron,"268, 426"
ce-13,heel,"75, 47"
ce-13,comb,"355, 173"
ce-13,rose,"375, 354"
ce-13,watch,"444, 407"
ce-13,palette,"438, 594"
ce-14,bug,"650, 679"
ce-14,fried chicken,"532, 242"
ce-14,lamp,"42, 227"
ce-14,leaf,"402, 317"
ce-14,paper airplane,"454, 550"
ce-14,sock,"542, 427"
ce-15,cupcake,"393, 617"
ce-15,candy,"554, 134"
ce-15,fish,"106, 417"
ce-15,doughnut,"596, 678"
ce-15,cherry,"549, 271"
ce-15,meat,"110, 366"
ce-15,sausage,"65, 195"
ce-15,pot,"440, 420"
ce-15,cheese,"190, 565"
ce-15,pizza,"235, 235"
