scene,template,px
ge-01,bag,"378, 50"
ge-01,banana,"605, 475"
ge-01,book,"300, 230"
ge-01,can,"190, 697"
ge-01,ladder,"75, 115"
ge-01,needle,"657, 545"
ge-01,pencil,"150, 165"
ge-01,stick,"506, 713"
ge-01,triangle,"336, 345"
ge-01,watermelon,"193, 390"
ge-01,worm,"585, 575"
ge-02,fish,"403, 79"
ge-02,kite,"208, 117"
ge-02,mussel,"48, 342"
ge-02,shell,"391, 428"
ge-02,sock,"345, 42"
ge-02,starfish,"125, 430"
ge-03,book,"446, 203"
ge-03,eraser,"72, 200"
ge-03,glue,"327, 432"
ge-03,pencil,"289, 656"
ge-03,ruler,"62, 274"
ge-03,scissors,"524, 595"
ge-04,crab,"400, 543"
ge-04,fish1,"226, 88"
ge-04,fish2,"612, 209"
ge-04,frog,"178, 522"
ge-04,mug,"633, 267"
ge-04,ring,"301, 121"
ge-04,toothbrush,"196, 453"
ge-05,clam,"24, 187"
ge-05,flipflop,"338, 677"
ge-05,glasses,"374, 403"
ge-05,hat,"100, 213"
ge-05,icecream1,"85, 304"
ge-05,icecream2,"252, 570"
ge-05,watermelon,"360, 555"
ge-06,acorn,"630, 427"
ge-06,carrot,"53, 296"
ge-06,grape,"617, 163"
ge-06,hat,"523, 346"
ge-06,leaf,"658, 325"
ge-06,spider,"45, 64"
ge-07,bird,"113, 543"
ge-07,brush,"152, 702"
ge-07,eggplant,"523, 807"
ge-07,icecream,"22, 301"
ge-07,watch,"225, 679"
ge-08,brush,"220, 84"
ge-08,leaf,"515, 215"
ge-08,lightbulb,"564, 351"
ge-08,mirror,"411, 448"
ge-08,mushroom,"129, 552"
ge-08,pencil,"462, 77"
ge-08,shoe,"573, 633"
ge-08,snail,"450, 548"
ge-09,alligator,"515, 378"
ge-09,barrel,"57, 155"
ge-09,boomerang,"156, 633"
ge-09,hand,"414, 177"
ge-09,rabbit,"341, 331"
ge-09,seeds,"72, 302"
ge-10,book,"248, 741"
ge-10,ketchup,"333, 343"
ge-10,marker,"107, 505"
ge-10,measuringcup,"385, 455"
ge-10,shovel,"170, 96"
ge-10,stool,"469, 166"
ge-11,cat,"473, 660"
ge-11,doorknob,"543, 254"
ge-11,sprayer,"397, 106"
ge-11,toothbrush,"77, 530"
ge-11,toothpaste,"158, 603"
ge-12,lightbulb,"79, 546"
ge-12,mushroom,"346, 659"
ge-12,pencil,"535, 658"
ge-12,shoe,"103, 677"
ge-12,snail,"245, 685"
ge-13,boot,"351, 733"
ge-13,duck,"48, 403"
ge-13,hat,"203, 127"
ge-13,pan,"452, 615"
ge-13,pie,"114, 517"
ge-13,rollingpin,"511, 364"
ge-14,cap,"831, 187"
ge-14,comb,"383, 279"
ge-14,cupcake,"225, 383"
ge-14,guitar,"52, 203"
ge-14,rat,"286, 160"
ge-14,watch,"208, 72"
ge-15,bear,"60, 52"
ge-15,cupcake,"598, 676"
ge-15,flower,"409, 702"
ge-15,icecream,"27, 714"
ge-15,rugbyball,"24, 178"
